english;spanish;french;italian;german;japanese;chinese
Leather Headgear;Cubrecabeza de cuero;Coiffe en cuir;Copricapo di cuoio;Leder-Kopfbedeckung;レザーヘッド;
Derring Headgear;Cubrecabeza valeroso;Coiffe de bravoure;Copricapo ardito;WagemutKopfbedeckung;ブレイブヘッド;
Chainmail Headgear;Cubrecabeza de malla;Coiffe en maille;Copricapo di cotta;Ketten-Kopfbedeckung;チェーンヘッド;
Hunter's Helm;Casco de cazador;Heaume de chasseur;Elmo cacciatore;Jäger-Helm;ハンターヘルム;
Hunter's Cap;Gorro de cazador;Calot de chasseur;Cappello cacciatore;Jäger-Kappe;ハンターキャップ;
Bone Helm;Casco de hueso;Heaume d'os;Elmo d'osso;Knochen-Helm;ボーンヘルム;
Bone Cap;Gorro de hueso;Calot d'os;Cappello d'osso;Knochen-Kappe;ボーンキャップ;
Alloy Helm;Casco de aleación;Heaume en alliage;Elmo in lega;Legierungs-Helm;アロイヘルム;
Alloy Cap;Gorro de aleación;Calot en alliage;Cappello in lega;Legierungs-Kappe;アロイキャップ;
Bnahabra Hat;Sombrero de Bnahabra;Chapeau Bnahabra;Copricapo Bnahabra;Bnahabra-Hut;ブナハハット;
Bnahabra Headpiece;Tocado de Bnahabra;Calot Bnahabra;Tiara Bnahabra;Bnahabra-Haube;ブナハキャップ;
Slagtoth Hood;Capucha de Slagtoth;Capuche Slagtoth;Cappuccio Slagtoth;Slagtoth-Kapuze;ズワロフード;
Slagtoth Cowl;Caperuza de Slagtoth;Coule Slagtoth;Bautta Slagtoth;Slagtoth-Kutte;ズワロフッド;
Rhenoplos Helm;Casco de Rhenoplos;Heaume Rhenoplos;Elmo Rhenoplos;Rhenoplos-Helm;リノプロヘルム;
Rhenoplos Cap;Gorro de Rhenoplos;Calot Rhenoplos;Cappello Rhenoplos;Rhenoplos-Kappe;リノプロキャップ;
Remobra Headgear;Cubrecabeza Remobra;Tête Remobra;Copricapo Remobra;RemobraKopfbedeckung;ガブラスヘッド;
Remobra Mask;Máscara de Remobra;Visage Remobra;Maschera Remobra;Remobra-Maske;ガブラスフェイス;
