english;spanish;french;italian;german;japanese;chinese
Leather Trousers;Pantalones de cuero;Pantalon en cuir;Pantaloni di cuoio;Leder-Hose;レザーパンツ;
Derring Trousers;Pantalones valerosos;Pantalon de bravoure;Pantaloni arditi;Wagemut-Hose;ブレイブパンツ;
Chainmail Trousers;Pantalón de malla;Pantalon en maille;Pantaloni di cotta;Ketten-Hose;チェーンパンツ;
Hunter's Greaves;Grebas de cazador;Grèves de chasseur;Schinieri cacciatore;Jäger-Beinschienen;ハンターグリーヴ;
Hunter's Leggings;Calzas de cazador;Cuissard de chasseur;Gambali cacciatore;Jäger-Gamaschen;ハンターレギンス;
Bone Greaves;Grebas de hueso;Grèves d'os;Schinieri d'osso;Knochen-Beinschienen;ボーングリーヴ;
Bone Leggings;Calzas de hueso;Cuissard d'os;Gambali d'osso;Knochen-Gamaschen;ボーンレギンス;
Alloy Greaves;Grebas de aleación;Grèves en alliage;Schinieri in lega;LegierungsBeinschien;アロイグリーヴ;
Alloy Leggings;Calzas de aleación;Cuissard en alliage;Gambali in lega;Legierungs-Gamaschen;アロイレギンス;
Loc Lac Boots;Botas de Loc Lac;Bottes de Loc Lac;Stivali Loc Lac;Loc-Lac-Stiefel;ロックラックブーツ;
Bnahabra Boots;Botas de Bnahabra;Bottes Bnahabra;Stivali Bnahabra;Bnahabra-Stiefel;ブナハブーツ;
Bnahabra Pants;Pantalón de Bnahabra;Pieds Bnahabra;Pantaloni Bnahabra;Bnahabra-Hose;ブナハフット;
Rhenoplos Greaves;Grebas de Rhenoplos;Grèves Rhenoplos;Schinieri Rhenoplos;RhenoplosBeinschinen;リノプログリーヴ;
Rhenoplos Leggings;Calzas de Rhenoplos;Cuissard Rhenoplos;Gambali Rhenoplos;Rhenoplos-Gamaschen;リノプロレギンス;
Remobra Feet;Pezuñas de Remobra;Pieds Remobra;Zampe Remobra;Remobra-Füße;ガブラスーツフット;
Remobra Tights;Leotardos de Remobra;Collant Remobra;Calzamaglia Remobra;Remobra-Strumpfhose;ガブラスーツタイツ;
Jaggi Greaves;Grebas de Jaggi;Grèves Jaggi;Schinieri Jaggi;Jaggi-Beinschienen;ジャギィグリーヴ;
Jaggi Leggings;Calzas de Jaggi;Cuissard Jaggi;Gambali Jaggi;Jaggi-Gamaschen;ジャギィレギンス;
Genprey Greaves;Grebas de Genprey;Grèves Genprey;Schinieri Genprey;Genprey-Beinschienen;ゲネポスグリーヴ;
Genprey Leggings;Calzas de Genprey;Cuissard Genprey;Gambali Genprey;Genprey-Gamaschen;ゲネポスレギンス;
Ioprey Greaves;Grebas de Ioprey;Grèves Ioprey;Schinieri Ioprey;Ioprey-Beinschienen;イーオスグリーヴ;
Ioprey Leggings;Calzas de Ioprey;Cuissard Ioprey;Gambali Ioprey;Ioprey-Gamaschen;イーオスレギンス;
Lagombi Greaves;Grebas de Lagombi;Grèves Lagombi;Schinieri Lagombi;Lagombi-Beinschienen;ウルクグリーヴ;
Lagombi Leggings;Calzas de Lagombi;Cuissard Lagombi;Gambali Lagombi;Lagombi-Gamaschen;ウルクレギンス;
Kecha Greaves;Grebas de Kecha;Grèves Kecha;Schin. Kecha Wacha;KechaWachaBeinschien;ケチャグリーヴ;
Kecha Leggings;Calzas de Kecha;Cuissard Kecha;Gambali Kecha Wacha;KechaWacha-Gamaschen;ケチャレギンス;
Conga Greaves;Grebas de Conga;Grèves Conga;Schinieri Conga;Conga-Beinschienen;コンガグリーヴ;
Conga Leggings;Calzas de Conga;Cuissard Conga;Gambali Conga;Conga-Gamaschen;コンガレギンス;
Gypceros Greaves;Grebas de Gypceros;Grèves Gypceros;Schinieri Gypceros;GypcerosBeinschienen;ゲリョスグリーヴ;
Gypceros Leggings;Calzas de Gypceros;Cuissard Gypceros;Gambali Gypceros;Gypceros-Gamaschen;ゲリョスレギンス;
Tetsucabra Greaves;Grebas de Tetsucabra;Grèves Tetsucabra;Schinieri Tetsucabra;TetsucabraBeinschien;カブラグリーヴ;
Tetsucabra Leggings;Calzas de Tetsucabra;Cuissard Tetsucabra;Gambali Tetsucabra;Tetsucabra-Gamaschen;カブラレギンス;
Nerscylla Greaves;Grebas de Nerscylla;Grèves Nerscylla;Schinieri Nerscylla;NerscyllaBeinschinen;スキュラグリーヴ;
Nerscylla Leggings;Calzas de Nerscylla;Cuissard Nerscylla;Gambali Nerscylla;Nerscylla-Gamaschen;スキュラレギンス;
Zamtrios Greaves;Grebas de Zamtrios;Grèves Zamtrios;Schinieri Zamtrios;ZamtriosBeinschienen;ザボアグリーヴ;
Zamtrios Leggings;Calzas de Zamtrios;Cuissard Zamtrios;Gambali Zamtrios;Zamtrios-Gamaschen;ザボアレギンス;
Najarala Greaves;Grebas de Najarala;Grèves Najarala;Schinieri Najarala;NajaralaBeinschienen;ガララグリーヴ;
Najarala Leggings;Calzas de Najarala;Cuissard Najarala;Gambali Najarala;Najarala-Gamaschen;ガララレギンス;
Khezu Greaves;Grebas de Khezu;Grèves Khezu;Schinieri Khezu;Khezu-Beinschienen;フルフルグリーヴ;
Khezu Leggings;Calzas de Khezu;Cuissard Khezu;Gambali Khezu;Khezu-Gamaschen;フルフルレギンス;
Rathian Greaves;Grebas de Rathian;Grèves Rathian;Schinieri Rathian;Rathian-Beinschienen;レイアグリーヴ;
Rathian Leggings;Calzas de Rathian;Cuissard Rathian;Gambali Rathian;Rathian-Gamaschen;レイアレギンス;
Velociprey Greaves;Grebas de Velociprey;Grèves Velociprey;Schinieri Velociprey;VelocipreyBeinschien;ランポスグリーヴ;
Velociprey Leggings;Calzas de Velociprey;Cuissard Velociprey;Gambali Velociprey;Velociprey-Gamaschen;ランポスレギンス;
Kut-Ku Greaves;Grebas de Kut-Ku;Grèves Kut-Ku;Schinieri Kut-Ku;Kut-Ku-Beinschienen;クックグリーヴ;
Kut-Ku Leggings;Calzas de Kut-Ku;Cuissard Kut-Ku;Gambali Kut-Ku;Kut-Ku-Gamaschen;クックレギンス;
Basarios Greaves;Grebas de Basarios;Grèves Basarios;Schinieri Basarios;BasariosBeinschienen;バサルグリーヴ;
Basarios Leggings;Calzas de Basarios;Cuissard Basarios;Gambali Basarios;Basarios-Gamaschen;バサルレギンス;
Arzuros Greaves;Grebas de Arzuros;Grèves Arzuros;Schinieri Arzuros;Arzuros-Beinschienen;アシラグリーヴ;
Arzuros Leggings;Calzas de Arzuros;Cuissard Arzuros;Gambali Arzuros;Arzuros-Gamaschen;アシラレギンス;
Ludroth Greaves;Grebas de Ludroth;Grèves Ludroth;Schinieri Ludroth;Ludroth-Beinschienen;ルドロスグリーヴ;
Ludroth Leggings;Calzas de Ludroth;Cuissard Ludroth;Gambali Ludroth;Ludroth-Gamaschen;ルドロスレギンス;
